"X" "Y" "Diameter" "Observer" "Image"
1660.85 -447.037 17.6062 "Antonenko1" "NAC"
1312.48 -1417.62 17.6163 "Antonenko1" "NAC"
1723.75 -970.074 17.618 "Antonenko1" "NAC"
659.293 -899.976 17.6314 "Antonenko1" "NAC"
2028.57 -2204.87 17.6381 "Antonenko1" "NAC"
1883.42 -1703.4 17.6465 "Antonenko1" "NAC"
1462.47 -1714.19 17.6583 "Antonenko1" "NAC"
736.708 -1191.15 17.7004 "Antonenko1" "NAC"
1225.39 -1606.35 17.702 "Antonenko1" "NAC"
383.501 -484.782 17.7037 "Antonenko1" "NAC"
2270.49 -495.566 17.734 "Antonenko1" "NAC"
2580.15 -1789.68 17.7542 "Antonenko1" "NAC"
572.201 -641.154 17.776 "Antonenko1" "NAC"
1893.1 -959.29 17.7777 "Antonenko1" "NAC"
910.892 -80.3724 17.7828 "Antonenko1" "NAC"
3528.49 -1671.05 17.7895 "Antonenko1" "NAC"
2086.63 -2161.73 17.8063 "Antonenko1" "NAC"
2314.04 -991.642 17.8097 "Antonenko1" "NAC"
2962.39 -1379.88 17.8332 "Antonenko1" "NAC"
3712.35 -1676.44 17.8399 "Antonenko1" "NAC"
1215.71 -1929.87 17.8769 "Antonenko1" "NAC"
1597.95 -959.29 17.8904 "Antonenko1" "NAC"
3180.12 -457.821 17.8988 "Antonenko1" "NAC"
3755.9 -161.254 17.9106 "Antonenko1" "NAC"
1602.79 -598.017 17.924 "Antonenko1" "NAC"
3334.95 -878.408 17.9358 "Antonenko1" "NAC"
548.008 -2123.99 17.9392 "Antonenko1" "NAC"
2091.47 -1956.83 17.9459 "Antonenko1" "NAC"
2352.75 -2053.89 17.9509 "Antonenko1" "NAC"
1278.61 -101.941 17.9661 "Antonenko1" "NAC"
1206.04 -1083.31 17.9728 "Antonenko1" "NAC"
3717.19 -436.253 18.0098 "Antonenko1" "NAC"
659.293 -1363.7 18.0165 "Antonenko1" "NAC"
3722.03 -1158.8 18.0266 "Antonenko1" "NAC"
814.123 -1228.9 18.0535 "Antonenko1" "NAC"
978.63 -673.507 18.0804 "Antonenko1" "NAC"
2464.03 -2064.68 18.1225 "Antonenko1" "NAC"
1162.49 -1719.58 18.1309 "Antonenko1" "NAC"
1975.35 -797.526 18.1326 "Antonenko1" "NAC"
4026.85 -1083.31 18.1982 "Antonenko1" "NAC"
1196.36 -495.566 18.1982 "Antonenko1" "NAC"
2594.67 -1859.78 18.2066 "Antonenko1" "NAC"
760.9 -598.017 18.2167 "Antonenko1" "NAC"
1607.63 -1401.44 18.2469 "Antonenko1" "NAC"
4002.66 -1045.56 18.2621 "Antonenko1" "NAC"
2420.49 -2016.15 18.2705 "Antonenko1" "NAC"
3489.78 -732.82 18.2873 "Antonenko1" "NAC"
3983.3 -867.623 18.3108 "Antonenko1" "NAC"
223.833 -1369.09 18.3226 "Antonenko1" "NAC"
1080.24 -15.6669 18.331 "Antonenko1" "NAC"
1249.58 -1072.52 18.3327 "Antonenko1" "NAC"
2570.48 -21.059 18.3344 "Antonenko1" "NAC"
1980.19 -873.015 18.3529 "Antonenko1" "NAC"
2575.32 -819.094 18.3714 "Antonenko1" "NAC"
281.894 -1897.52 18.3781 "Antonenko1" "NAC"
1573.76 -792.134 18.3831 "Antonenko1" "NAC"
1278.61 -398.508 18.405 "Antonenko1" "NAC"
